chunks,url
contexthttpsschemaorgtypewebpagenameuttarkashi news ndrf team enters tunnel ambulances at the ready today newsdescriptionjharkhand cm voices concern over delayed evacuation of workers in the collapsed tunnel citing previous incidents in uttarakhandspeakabletypespeakablespecificationcssselectorh1urlhttpswwwlivemintcomnewsindiauttarkashitunnelcollapsesilkyarandrfdeploysteamrescuemission41workerstop10updatespushkarsinghdhami11700703183514htmlcontexthttpsschemaorgtypenewsmediaorganizationnameminturlhttpswwwlivemintcomlogotypeimageobjecturlhttpswwwlivemintcomlmimgnewschemalogo,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
orgtypenewsmediaorganizationnameminturlhttpswwwlivemintcomlogotypeimageobjecturlhttpswwwlivemintcomlmimgnewschemalogopngwidth600height60addresstypepostaladdressstreetaddressht media ltd 1st floor 1820 kasturba gandhi margaddresslocalitynew delhiaddressregionindiapostalcode110 001contactpointtypecontactpointtelephone011 66561234emailcustomersupportlivemintcomcontacttypecustomer serviceareaservedinavailablelanguageenglishhoursavailableopens0900closes1800contexthttpsschemaorgtypesitenavigationelementnametodays newseconomymoney newscompany business newsstock market newspersonal loanelection results 2024indian industry analysisopiniontechnology newspolitics newsloungesports newsipl 2025 education news todayurlhttpswwwlivemintcomnewshttpswww,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
livemintcomnewshttpswwwlivemintcomeconomyhttpswwwlivemintcommoneyhttpswwwlivemintcomcompanieshttpswwwlivemintcommarkethttpswwwlivemintcommoneyloanpersonalloanhttpswwwlivemintcomelectionshttpswwwlivemintcomindustryhttpswwwlivemintcomopinionhttpswwwlivemintcomtechnologyhttpswwwlivemintcompoliticshttpswwwlivemintcommintloungehttpswwwlivemintcomsportshttpswwwlivemintcomsportscricketnewsiplhttpswwwlivemintcomeducationuttarkashi news ndrf team enters tunnel ambulances at the ready today newscontexthttpsschemaorgtypenewsarticlemainentityofpagehttpswwwlivemintcomnewsindiauttarkashitunnelcollapsesilkyarandrfdeploysteamrescuemission41workerstop10updatespushkarsinghdhami11700703183514,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
livemintcomnewsindiauttarkashitunnelcollapsesilkyarandrfdeploysteamrescuemission41workerstop10updatespushkarsinghdhami11700703183514htmlinlanguageenheadlineuttarkashi tunnel collapse ndrf team enters tunnel to save 41 trapped workers with ambulances on standby 10 updatesdescriptionjharkhand cm voices concern over delayed evacuation of workers in the collapsed tunnel citing previous incidents in uttarakhandurlhttpswwwlivemintcomnewsindiauttarkashitunnelcollapsesilkyarandrfdeploysteamrescuemission41workerstop10updatespushkarsinghdhami11700703183514,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
urlhttpswwwlivemintcomnewsindiauttarkashitunnelcollapsesilkyarandrfdeploysteamrescuemission41workerstop10updatespushkarsinghdhami11700703183514htmldatepublished20231123t0743120530datemodified20231123t0743120530alternativeheadlineuttarkashi tunnel collapse ndrf team enters tunnel to save 41 trapped workers with ambulances on standby 10 updatesarticlebodya 15member ndrf team led by a commandant has been assigned the mission of rescuing 41 labourers trapped for the past 10 days in the collapsed silkyara tunnel in uttarkashihere are the top ten updates on the uttarkashi tunnel collapse1 the evacuation process utilizing a series of 800 mm diameter steel pipes has presented a significant challenge for the rescue efforts,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
1 the evacuation process utilizing a series of 800 mm diameter steel pipes has presented a significant challenge for the rescue efforts ndrf personnel have simulated a drill to demonstrate their approach for traversing through the pipes to reach the other side of the debris where the trapped labourers are located ndrf secondincommand 2 ic ravi shankar badhani told ptialso read uttarkashi tunnel collapse news live update silkyara rescue operation now in final stages says official2 medical professionals have been stationed within the tunnel and ambulances are positioned outside to ensure the safe transfer of the rescued individuals the ambulances will convey the workers to a hospital established in chinyalisaur approximately 30 kilometres from the tunnel location3,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
the ambulances will convey the workers to a hospital established in chinyalisaur approximately 30 kilometres from the tunnel location3 the dedicated freight corridor corporation of india limited dfccil and indian railways ir have collaborated to operate a special train transporting equipment from karambeli in gujarat to rishikesh in uttarakhand covering a distance of 1605 km this initiative aims to support the rescue efforts for the trapped workers in the uttarkashi tunnel collapse incidentalso read after the collapse of the uttarkashi tunnel nhai to inspect all underconstruction tunnels across india4 on wednesday a 41bed hospital was established at the chinyalisaur community health centre in the district to provide medical care for the 41 trapped laborers once they are rescued from the silkyara tunnel,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
additionally a temporary hospital with eight beds has been arranged at the location to offer immediate medical attention to the trapped workers if necessary pti reported5 after conversing with the workers their family members expressed optimism anticipating that the anxious wait would ultimately lead to a heartwarming reunion with their loved ones we called him on diwali but could not reach him his colleagues told us that his mobile phone had been damaged later we saw his name in the newspaper and learnt that he was trapped inside the tunnel he told ptialso read uttarkashi tunnel collapse good news in next 40 hrs if say officials6 jharkhand chief minister hemant soren voiced concern on wednesday regarding the delayed evacuation of workers from the underconstruction silkyara tunnel in uttarakhand7 ten days have passed since the collapse in the tunnel but there is no surety when the workers who are trapped will come out soren said,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
7 ten days have passed since the collapse in the tunnel but there is no surety when the workers who are trapped will come out soren said the incident is not the first in uttarakhand such occurrences had taken place in previous years too and several workers from jharkhand had lost their lives jharkhand cm addedalso read watch first visuals of uttarkashi tunnel rescue come up8 the jharkhand government is making arrangements to airlift all 15 workers hailing from the state who are currently trapped in the silkyara tunnel in uttarkashi uttarakhand among the total of 41 workers stuck inside the collapsed tunnel 15 individuals are from giridih ranchi east singhbhum and khunti districts of jharkhandalso read uttarkashi tunnel collapse highlights 6inch pipe pushed through rubble iaf airlifts another 36 tonne of equipment9,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
also read uttarkashi tunnel collapse highlights 6inch pipe pushed through rubble iaf airlifts another 36 tonne of equipment9 jharkhand labour minister satyanand bhokta stated that the department is actively communicating with the families of the 15 labourers from jharkhand who are stuck at the collapse site the jharkhand government is willing to bear the entire expense of bringing the workers to jharkhand from uttarkashi after they are rescued he told reporters10 bhaskar khulbe former advisor to the prime ministers office announced on wednesday that activities for the upcoming phase will commence in the next two hours as reported by ani khulbe who is also the special executive officer in the uttarakhand tourism department said i am very happy to tell you that with the work we were doing for the last hour we have drilled another 6meter length with an american oger machine i am hopeful that in the next 2 hours work will start for the next phase,https://www.livemint.com/news/india/uttarkashi-tunnel-collapse-silkyara-ndrf-deploys-team-rescue-mission-41-workers-top-10-updates-pushkar-singh-dhami-11700703183514.html
